category,main_category,state,backers,country,usd_pledged_real,usd_goal_real,project_time
91,123.0,1.0,2.0,3.0,0.0,70.0,500.0,6.0
92,17.0,1.0,1.0,1.0,0.0,105.0,105.0,6.0
93,10.0,6.0,0.0,5.0,0.0,197.0,500.0,6.0
94,11.0,2.0,0.0,2.0,0.0,15.0,1267.0,6.0
95,6.0,7.0,0.0,1.0,2.0,91.74,1834.86,6.0
96,29.0,5.0,1.0,38.0,0.0,6395.0,150.0,6.0
97,63.0,9.0,1.0,24.0,1.0,1708.67,1708.67,6.0
98,91.0,10.0,1.0,15.0,0.0,1025.0,300.0,6.0
99,18.0,4.0,1.0,47.0,0.0,4566.0,4500.0,6.0
100,56.0,10.0,4.0,7.0,0.0,349.0,500.0,6.0
101,3.0,3.0,0.0,16.0,0.0,1156.0,24000.0,6.0
102,4.0,0.0,0.0,1.0,1.0,61.18,1223.69,6.0
103,3.0,3.0,1.0,90.0,0.0,1203.0,300.0,6.0
104,6.0,7.0,1.0,13.0,2.0,568.59,357.85,6.0
105,10.0,6.0,1.0,16.0,0.0,1560.0,1500.0,6.0
106,10.0,6.0,0.0,0.0,0.0,0.0,50.0,6.0
107,8.0,2.0,1.0,2.0,1.0,85.68,77.89,6.0
108,7.0,0.0,0.0,1.0,0.0,1.0,2500.0,6.0
109,3.0,3.0,1.0,8.0,0.0,103.0,77.0,6.0
110,0.0,5.0,0.0,2.0,1.0,37.98,412.78,6.0
111,3.0,3.0,1.0,17.0,1.0,742.34,248.69,6.0
112,4.0,0.0,1.0,10.0,0.0,455.0,440.0,6.0
113,38.0,0.0,1.0,16.0,0.0,475.0,450.0,6.0
114,31.0,6.0,1.0,13.0,1.0,218.35,218.35,6.0
115,36.0,8.0,0.0,2.0,0.0,28.0,450.0,6.0
116,54.0,0.0,0.0,1.0,0.0,25.0,25000.0,6.0
117,6.0,7.0,2.0,0.0,0.0,0.0,200.0,6.0
118,16.0,2.0,2.0,0.0,0.0,0.0,10000.0,6.0
119,5.0,3.0,1.0,16.0,2.0,518.84,239.46,6.0
120,44.0,3.0,1.0,117.0,0.0,1947.0,1500.0,6.0
121,44.0,3.0,0.0,2.0,2.0,96.0,4800.0,6.0
122,6.0,7.0,0.0,3.0,0.0,31.0,2000.0,6.0
123,26.0,12.0,1.0,8.0,0.0,403.0,250.0,6.0
124,116.0,9.0,1.0,19.0,0.0,600.0,500.0,6.0
125,13.0,1.0,1.0,7.0,0.0,370.0,100.0,6.0
126,3.0,3.0,0.0,37.0,2.0,2492.48,3601.73,6.0
127,11.0,2.0,0.0,0.0,0.0,0.0,375.0,6.0
128,80.0,9.0,0.0,0.0,0.0,0.0,70000.0,6.0
129,15.0,4.0,2.0,0.0,0.0,0.0,200.0,6.0
130,22.0,11.0,1.0,200.0,0.0,3030.0,2500.0,6.0
131,149.0,6.0,1.0,10.0,0.0,175.0,100.0,6.0
132,70.0,12.0,1.0,16.0,0.0,1544.0,250.0,6.0
133,65.0,8.0,0.0,6.0,0.0,78.0,200.0,6.0
134,36.0,8.0,1.0,24.0,0.0,374.0,200.0,6.0
135,33.0,1.0,1.0,21.0,0.0,4542.83,4000.0,6.0
136,17.0,1.0,0.0,1.0,0.0,25.0,1000.0,6.0
137,7.0,0.0,1.0,27.0,0.0,1435.0,1000.0,6.0
138,11.0,2.0,1.0,262.0,0.0,2884.42,1000.0,6.0
139,14.0,8.0,0.0,4.0,0.0,200.0,5000.0,6.0
140,4.0,0.0,0.0,1.0,1.0,1.52,759.21,6.0
141,26.0,12.0,0.0,4.0,0.0,50.0,1000.0,6.0
142,10.0,6.0,0.0,0.0,0.0,0.0,1000.0,6.0
143,15.0,4.0,1.0,8.0,0.0,810.0,568.0,6.0
144,15.0,4.0,0.0,4.0,0.0,197.0,2000.0,6.0
145,29.0,5.0,0.0,1.0,0.0,10.0,5000.0,6.0
146,18.0,4.0,0.0,3.0,13.0,31.44,7486.04,6.0
147,2.0,1.0,1.0,11.0,0.0,1269.71,1000.0,6.0
148,39.0,4.0,0.0,0.0,0.0,0.0,3300000.0,6.0
149,130.0,13.0,0.0,17.0,0.0,543.0,10500.0,6.0
150,21.0,2.0,1.0,14.0,1.0,218.67,10.0,6.0
151,34.0,6.0,0.0,3.0,0.0,70.0,3000.0,6.0
152,15.0,4.0,2.0,3.0,0.0,180.0,5000.0,6.0
153,0.0,5.0,1.0,29.0,0.0,3541.0,3300.0,6.0
154,22.0,11.0,1.0,18.0,0.0,800.0,700.0,6.0
155,3.0,3.0,1.0,86.0,0.0,2442.0,1000.0,6.0
156,69.0,7.0,1.0,76.0,0.0,2275.0,600.0,6.0
157,69.0,7.0,1.0,42.0,0.0,1531.0,1000.0,6.0
